label,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,mean_intensity_647,mean_intensity_546,cell_line,position,barcode,editd positions,edit ratio,intensity_647,intensity_546,int_ratio,int_frac,row_num,bc_label,model_output,dist,abs_dist
199,5,1574.2,598.6,1573,598,1576,600,948.2,3041.0,52,5,111111111110',11,0.916666667,8.464003362902119,9.629379600111465,1.1376861736985138,0.5322044871208332,row13677,11.0,0.0,11.0,11.0
227,1,1525.0,1154.0,1525,1154,1526,1155,724.0,2491.0,52,7,111111111110',11,0.916666667,6.584791392385716,7.820439515262181,1.1876518251292365,0.5428888690087031,row14186,11.0,0.0,11.0,11.0
3,6,21.83333333333333,679.1666666666666,21,678,24,681,1053.1666666666667,3322.6666666666665,51,5,111111111100',10,0.833333333,8.751316246773456,9.90028242158718,1.1312906701591705,0.5308007424790551,row12016,10.0,0.0,10.0,10.0
175,1,1352.0,180.0,1352,180,1353,181,1045.0,2650.0,52,5,111111111110',11,0.916666667,6.951772164398911,7.882314918980268,1.1338569119607815,0.531365015903944,row13653,11.0,1.0,10.0,10.0
328,2,1975.0,16.5,1975,16,1976,18,765.5,2432.5,51,4,111111111100',10,0.833333333,7.333676395657684,8.489821994620105,1.1576488430341678,0.5365325533724191,row12006,10.0,1.0,9.0,9.0
69,8,705.125,1139.125,704,1138,707,1141,709.375,2425.125,51,1,111111111100',10,0.833333333,8.643825842349603,9.873079890114704,1.1422118018322958,0.5331927500610952,row11238,10.0,1.0,9.0,9.0
81,29,1209.0689655172414,1878.4137931034484,1206,1875,1212,1882,1096.5172413793102,4419.068965517241,43,1,110000000000',2,0.166666667,10.367190121732936,11.760980141584534,1.1344424095136223,0.5314935668712321,row02026,2.0,11.0,-9.0,9.0
146,17,972.7647058823528,294.8235294117647,971,293,976,298,1045.8823529411766,4190.117647058823,51,4,111111111100',10,0.833333333,9.785829509067897,11.173697434635216,1.1418242494702442,0.5331082836290894,row11824,10.0,1.0,9.0,9.0
2,28,52.0,2015.5,49,2014,56,2018,981.0714285714286,4677.5,52,4,111111111110',11,0.916666667,10.22084977908932,11.78272356832345,1.1528125178426498,0.5354913668924093,row13276,11.0,2.0,9.0,9.0
95,24,738.5,627.3333333333334,735,625,743,630,1433.9166666666667,4470.125,52,2,111111111110',11,0.916666667,10.446218737313105,11.583225481770386,1.10884385757652,0.5258065236042662,row13006,11.0,2.0,9.0,9.0
240,1,1451.0,0.0,1451,0,1452,1,953.0,3388.0,51,4,111111111100',10,0.833333333,6.859614903654202,8.127995055771946,1.184905445849746,0.5423142901220225,row11918,10.0,1.0,9.0,9.0
43,1,299.0,704.0,299,704,300,705,621.0,2675.0,52,5,111111111110',11,0.916666667,6.431331081933479,7.891704659330107,1.2270717459250426,0.5509798901495931,row13521,11.0,2.0,9.0,9.0
211,2,1327.5,56.0,1327,56,1329,57,620.0,2423.5,51,4,111111111100',10,0.833333333,7.122866658599083,8.486115235845377,1.191390439072801,0.543668721844424,row11889,10.0,1.0,9.0,9.0
85,5,811.6,1617.2,811,1616,813,1619,960.8,3222.4,50,1,111111111000',9,0.75,8.477204183199873,9.687319614958344,1.1427493552835115,0.5333098584142671,row10072,9.0,0.0,9.0,9.0
44,17,650.1176470588235,1151.2941176470588,649,1148,653,1155,1001.2941176470588,4402.529411764706,43,4,110000000000',2,0.166666667,9.742261904036909,11.22314786510039,1.1520063795913604,0.5353173626790606,row02558,2.0,11.0,-9.0,9.0
36,42,430.2619047619048,1009.4285714285714,427,1006,434,1014,1138.2380952380952,4345.928571428572,52,4,111111111110',11,0.916666667,10.774906433614746,12.114664343490352,1.1243405609255157,0.5292656844228742,row13310,11.0,2.0,9.0,9.0
165,25,916.68,1659.6,913,1658,920,1663,1999.44,4870.84,50,7,111111111000',9,0.75,10.819498245202965,11.709897510670666,1.0822958001645295,0.5197608332490579,row11008,9.0,1.0,8.0,8.0
11,8,143.375,1818.125,142,1817,146,1820,581.75,2997.25,52,4,111111111110',11,0.916666667,8.445482343862237,10.0848920222676,1.1941167610866898,0.5442357408979795,row13285,11.0,3.0,8.0,8.0
65,2,841.0,346.5,841,346,842,348,598.0,2521.0,43,1,110000000000',2,0.166666667,7.086737934510577,8.525558107747866,1.2030299676005525,0.5460797108043165,row02010,2.0,10.0,-8.0,8.0
8,2,188.5,1420.0,188,1420,190,1421,877.0,2581.0,50,4,111111111000',9,0.75,7.469654172932128,8.54907938027856,1.1445080565119008,0.533692588860437,row10376,9.0,1.0,8.0,8.0
5,6,52.0,1902.5,51,1902,54,1904,597.3333333333334,3806.1666666666665,44,7,111000000000',3,0.25,8.18423477409482,10.036137306631591,1.2262768094579242,0.5508195585779425,row04797,3.0,11.0,-8.0,8.0
231,3,1753.3333333333333,1398.6666666666667,1753,1398,1755,1400,608.6666666666666,2608.333333333333,44,5,111000000000',3,0.25,7.509883061154913,8.965079015408355,1.1937707874281671,0.5441638635491475,row04533,3.0,11.0,-8.0,8.0
20,1,227.0,1047.0,227,1047,228,1048,774.0,2561.0,51,2,111111111100',10,0.833333333,6.651571873589727,7.848153086199526,1.17989450243496,0.5412622037979399,row11390,10.0,2.0,8.0,8.0
11,8,145.125,523.125,144,522,147,525,735.625,2679.875,51,6,111111111100',10,0.833333333,8.680162019694377,9.972966972305931,1.148937882689092,0.5346538361785306,row12285,10.0,2.0,8.0,8.0
86,6,1200.5,1888.0,1200,1887,1202,1890,1858.3333333333333,2596.1666666666665,42,1,100000000000',1,0.083333333,9.319194776888263,9.653550746326603,1.0358782037979877,0.5088114808958257,row01092,1.0,9.0,-8.0,8.0
53,2,824.0,331.5,824,331,825,333,896.5,2594.0,42,5,100000000000',1,0.083333333,7.491645473605133,8.554103545436334,1.1418190537145003,0.5331071510145892,row01616,1.0,9.0,-8.0,8.0
103,10,1457.5,466.0,1456,465,1460,468,767.3,2878.7,43,4,110000000000',2,0.166666667,8.945462952177666,10.267679175328515,1.1478085852257622,0.5344091615618125,row02617,2.0,10.0,-8.0,8.0
120,8,1132.75,1945.5,1131,1944,1135,1948,908.5,2637.375,51,7,111111111100',10,0.833333333,8.891236429516061,9.956980924976127,1.1198645996997825,0.5282717584219194,row12611,10.0,2.0,8.0,8.0
186,8,1754.875,128.875,1754,128,1757,131,695.625,2402.25,43,5,110000000000',2,0.166666667,8.624252263709645,9.863602618837213,1.1437052531896224,0.5335179598444804,row02852,2.0,10.0,-8.0,8.0
92,2,1199.5,224.0,1199,224,1201,225,965.5,2633.5,50,5,111111111000',9,0.75,7.565793282428515,8.569216219483389,1.1326262692618518,0.5310945877328419,row10712,9.0,1.0,8.0,8.0
23,5,468.8,1701.4,468,1701,471,1703,786.0,2703.4,43,6,110000000000',2,0.166666667,8.276394704863307,9.511703431483827,1.1492568649359651,0.534722900592064,row02886,2.0,10.0,-8.0,8.0
139,1,742.0,363.0,742,363,743,364,796.0,2514.0,50,7,111111111000',9,0.75,6.679599185844383,7.829630389150193,1.1721706903825897,0.5396310223558592,row10982,9.0,1.0,8.0,8.0
43,7,463.57142857142856,912.2857142857144,462,911,466,914,754.4285714285714,2525.285714285714,50,1,111111111000',9,0.75,8.571870752706934,9.780019638535885,1.1409434323828815,0.5329161971892948,row10030,9.0,1.0,8.0,8.0
318,1,1936.0,938.0,1936,938,1937,939,944.0,3430.0,50,7,111111111000',9,0.75,6.8501261661455,8.140315540159985,1.1883453447019448,0.5430337344052973,row11161,9.0,1.0,8.0,8.0
200,37,1226.972972972973,478.5675675675676,1224,476,1231,482,883.2702702702703,3563.864864864865,51,4,111111111100',10,0.833333333,10.394549148260978,11.789518783811484,1.1342020337441847,0.5314407988611894,row11878,10.0,2.0,8.0,8.0
344,9,1807.888888888889,418.22222222222223,1807,416,1810,421,1035.2222222222222,3243.333333333333,43,7,110000000000',2,0.166666667,9.139595967450424,10.28158146384816,1.1249492319425038,0.5294005216840598,row03425,2.0,9.0,-7.0,7.0
135,37,1277.054054054054,1957.4054054054052,1275,1954,1280,1962,3799.162162162162,3418.162162162162,43,6,110000000000',2,0.166666667,11.853453750407072,11.747776218776025,0.9910846632672422,0.4977611859261353,row02998,2.0,9.0,-7.0,7.0
